mesh,mode,radius_m,curvature_1pm,load_case,w_center_mm,electric_span,magnetic_span,theta_span_K,center_node_id,center_coord_1,center_coord_2,center_coord_3,case_file,status,w_change_from_previous_pct,electric_change_from_previous_pct,magnetic_change_from_previous_pct,theta_change_from_previous_pct,mesh_gate_20_to_30
10,U,0.4,2.5,magneto,0.210401217053186,98.8934579098252,0.0389358009504644,0.659777222783318,171,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_U_Vf0.6_R0.4m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,U,0.4,2.5,magneto,0.210321728682308,98.8799766855149,0.0389304986744044,0.65968729488868,641,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_U_Vf0.6_R0.4m-20x20-10layer.txt,completed_corrected_pyro,0.0377937036634379,0.0136339274767163,0.013619851377568,0.0136318973147852,
30,U,0.4,2.5,magneto,0.210320225972978,98.8750051974494,0.0389285425454001,0.6596541301057,1411,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.4m-30x30-10layer.txt,completed_corrected_pyro,0.000714486361473876,0.00502805340498293,0.00502492227142416,0.00502760180926715,pass
10,X,0.4,2.5,elastic,-1.66719612921614,296.502298191662,0.102117707145964,2.05201656532077,171,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.4m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,X,0.4,2.5,elastic,-1.66717211609997,296.438092739603,0.102095587735699,2.05157217268436,641,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_X_Vf0.6_R0.4m-20x20-10layer.txt,completed_corrected_pyro,0.00144035015569514,0.0216589748860019,0.0216653929475046,0.0216610774081849,
30,X,0.4,2.5,elastic,-1.66709368074891,296.43898313211,0.102095893057747,2.05157832606785,1411,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R0.4m-30x30-10layer.txt,completed_corrected_pyro,0.00470491562445703,0.00030036282597163,0.000299054191943648,0.00029993412447955,pass
10,X,0.4,2.5,electro,-0.0517234691137546,24.3687156196846,0.00839286336284197,0.168650222938993,171,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.4m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
20,X,0.4,2.5,electro,-0.0517024038346666,24.3660685914899,0.00839195196785077,0.168631905259906,641,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_X_Vf0.6_R0.4m-20x20-10layer.txt,completed_corrected_pyro,0.0407433262781335,0.0108635834490994,0.0108603456584594,0.0108625227585292,
30,X,0.4,2.5,electro,-0.0517016131644315,24.3649569824528,0.00839156917398971,0.168624212446806,1411,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R0.4m-30x30-10layer.txt,completed_corrected_pyro,0.00152929509682686,0.00456232710732995,0.00456164816285946,0.00456210468732914,pass
10,X,0.4,2.5,magneto,0.372135785348303,175.32604213209,0.0603842869081647,1.21339083085295,171,0.15,0.375,0.4,G:\fg-meet-workbench\cases\curvature_fg\10x10\Thermal_CFFF_X_Vf0.6_R0.4m-10x10-10layer.txt,completed_pilot_corrected_pyro,NaN,NaN,NaN,NaN,
