time_s,w_center_zeta_0000_16_modes_mm,theta_span_zeta_0000_16_modes_K,theta_layer_01_zeta_0000_16_modes_K,theta_layer_02_zeta_0000_16_modes_K,theta_layer_03_zeta_0000_16_modes_K,theta_layer_04_zeta_0000_16_modes_K,theta_layer_05_zeta_0000_16_modes_K,theta_layer_06_zeta_0000_16_modes_K,theta_layer_07_zeta_0000_16_modes_K,theta_layer_08_zeta_0000_16_modes_K,theta_layer_09_zeta_0000_16_modes_K,theta_layer_10_zeta_0000_16_modes_K,w_center_zeta_0050_16_modes_mm,theta_span_zeta_0050_16_modes_K,theta_layer_01_zeta_0050_16_modes_K,theta_layer_02_zeta_0050_16_modes_K,theta_layer_03_zeta_0050_16_modes_K,theta_layer_04_zeta_0050_16_modes_K,theta_layer_05_zeta_0050_16_modes_K,theta_layer_06_zeta_0050_16_modes_K,theta_layer_07_zeta_0050_16_modes_K,theta_layer_08_zeta_0050_16_modes_K,theta_layer_09_zeta_0050_16_modes_K,theta_layer_10_zeta_0050_16_modes_K,w_center_zeta_0080_16_modes_mm,theta_span_zeta_0080_16_modes_K,theta_layer_01_zeta_0080_16_modes_K,theta_layer_02_zeta_0080_16_modes_K,theta_layer_03_zeta_0080_16_modes_K,theta_layer_04_zeta_0080_16_modes_K,theta_layer_05_zeta_0080_16_modes_K,theta_layer_06_zeta_0080_16_modes_K,theta_layer_07_zeta_0080_16_modes_K,theta_layer_08_zeta_0080_16_modes_K,theta_layer_09_zeta_0080_16_modes_K,theta_layer_10_zeta_0080_16_modes_K,w_center_zeta_0150_16_modes_mm,theta_span_zeta_0150_16_modes_K,theta_layer_01_zeta_0150_16_modes_K,theta_layer_02_zeta_0150_16_modes_K,theta_layer_03_zeta_0150_16_modes_K,theta_layer_04_zeta_0150_16_modes_K,theta_layer_05_zeta_0150_16_modes_K,theta_layer_06_zeta_0150_16_modes_K,theta_layer_07_zeta_0150_16_modes_K,theta_layer_08_zeta_0150_16_modes_K,theta_layer_09_zeta_0150_16_modes_K,theta_layer_10_zeta_0150_16_modes_K
0.0112,-4.27967895085073,4.579520134041,2.28976006702049,1.78092449657149,1.27208892612249,0.76325335567349,0.25441778522449,-0.25441778522451,-0.763253355673509,-1.27208892612251,-1.78092449657151,-2.28976006702051,-4.24362391803752,4.55646962457872,2.27823481228935,1.77196040955838,1.26568600682741,0.759411604096444,0.253137201365475,-0.253137201365494,-0.759411604096463,-1.26568600682743,-1.7719604095584,-2.27823481228937,-4.22264387042206,4.54239098518527,2.27119549259262,1.76648538312759,1.26177527366257,0.757065164197535,0.252355054732505,-0.252355054732525,-0.757065164197553,-1.26177527366258,-1.76648538312761,-2.27119549259265,-4.17540783852056,4.50889764258152,2.25444882129075,1.75346019433725,1.25247156738375,0.751482940430243,0.250494313476742,-0.25049431347676,-0.751482940430262,-1.25247156738376,-1.75346019433726,-2.25444882129077
0.0113,-4.23737087444773,4.55669782353159,2.27834891176578,1.77204915359561,1.26574939542543,0.759449637255252,0.253149879085078,-0.253149879085098,-0.759449637255272,-1.26574939542545,-1.77204915359562,-2.2783489117658,-4.20217800588531,4.52946078558052,2.26473039279025,1.76145697217019,1.25818355155014,0.754910130930077,0.251636710310018,-0.251636710310039,-0.754910130930095,-1.25818355155015,-1.76145697217021,-2.26473039279027,-4.18177564030815,4.51364168436676,2.25682084218337,1.75530509947595,1.25378935676853,0.752273614061117,0.250757871353699,-0.250757871353718,-0.752273614061135,-1.25378935676855,-1.75530509947597,-2.25682084218339,-4.13595001289881,4.47750719338545,2.23875359669271,1.74125279742766,1.24375199816261,0.746251198897564,0.248750399632515,-0.248750399632534,-0.746251198897584,-1.24375199816263,-1.74125279742768,-2.23875359669273
0.0114,-4.18931174916957,4.52833143978698,2.26416571989348,1.76101778213937,1.25786984438526,0.754721906631153,0.251573968877044,-0.251573968877064,-0.754721906631173,-1.25786984438528,-1.76101778213939,-2.2641657198935,-4.15588220257088,4.49949880395345,2.24974940197671,1.74980509042633,1.24986077887595,0.749916467325563,0.249972155775181,-0.2499721557752,-0.749916467325583,-1.24986077887597,-1.74980509042634,-2.24974940197673,-4.13644862197087,4.48284806838832,2.24142403419415,1.74332980437322,1.2452355745523,0.747141344731374,0.249047114910453,-0.249047114910472,-0.747141344731396,-1.24523557455232,-1.74332980437325,-2.24142403419417,-4.0926899943497,4.44516910573592,2.22258455286795,1.72867687445284,1.23476919603775,0.740861517622644,0.246953839207542,-0.24695383920756,-0.740861517622661,-1.23476919603776,-1.72867687445286,-2.22258455286797
0.0115,-4.13627750847386,4.49375353172238,2.24687676586118,1.74757081789203,1.24826486992287,0.74895892195372,0.249652973984568,-0.249652973984586,-0.748958921953741,-1.2482648699229,-1.74757081789204,-2.2468767658612,-4.10529399353397,4.46569134525203,2.23284567262601,1.73665774537578,1.24046981812555,0.744281890875327,0.248093963625103,-0.248093963625122,-0.744281890875347,-1.24046981812557,-1.7366577453758,-2.23284567262602,-4.08713476189542,4.44909552734696,2.22454776367347,1.73020381619047,1.23585986870748,0.741515921224483,0.247171973741488,-0.247171973741507,-0.741515921224504,-1.2358598687075,-1.73020381619049,-2.22454776367349,-4.04597450895671,4.41106159824758,2.20553079912378,1.71541284376293,1.22529488840209,0.735176933041253,0.245058977680412,-0.24505897768043,-0.735176933041271,-1.22529488840212,-1.71541284376295,-2.2055307991238
0.0116,-4.07998657454803,4.45736425652727,2.22868212826362,1.73341943309393,1.23815673792423,0.742894042754533,0.247631347584838,-0.247631347584858,-0.742894042754553,-1.23815673792425,-1.73341943309395,-2.22868212826364,-4.0515113717652,4.42996746328885,2.21498373164441,1.72276512461232,1.23054651758022,0.738327910548131,0.246109303516038,-0.246109303516057,-0.738327910548151,-1.23054651758025,-1.72276512461234,-2.21498373164444,-4.03470181837104,4.41347536766846,2.20673768383422,1.71635153187106,1.22596537990789,0.735579227944733,0.245193075981572,-0.24519307598159,-0.735579227944752,-1.22596537990791,-1.71635153187108,-2.20673768383424,-3.99635643608201,4.37529386374374,2.18764693187186,1.70150316923366,1.21535940659547,0.72921564395728,0.243071881319087,-0.243071881319106,-0.729215643957296,-1.21535940659549,-1.70150316923368,-2.18764693187188
0.0117,-4.02170906438902,4.42218745694647,2.21109372847323,1.71973956659029,1.22838540470734,0.737031242824401,0.245677080941462,-0.24567708094148,-0.73703124282442,-1.22838540470736,-1.71973956659031,-2.21109372847325,-3.99543694734067,4.39377176530239,2.19688588265119,1.70868901983981,1.22049215702843,0.732295294217056,0.244098431405679,-0.244098431405698,-0.732295294217074,-1.22049215702845,-1.70868901983983,-2.1968858826512,-3.9799087252253,4.37687323189722,2.1884366159486,1.70211736796002,1.21579811997144,0.729478871982861,0.243159623994281,-0.2431596239943,-0.72947887198288,-1.21579811997146,-1.70211736796004,-2.18843661594862,-3.94438096959891,4.33804688593134,2.16902344296566,1.68701823341774,1.2050130238698,0.723007814321881,0.241002604773954,-0.241002604773972,-0.7230078143219,-1.20501302386982,-1.68701823341775,-2.16902344296568
0.0118,-3.96155925408464,4.38622327236601,2.193111636183,1.705753494809,1.218395353435,0.731037212060993,0.243679070686991,-0.24367907068701,-0.731037212061013,-1.21839535343502,-1.70575349480901,-2.19311163618302,-3.93740323385321,4.35616480073098,2.17808240036548,1.69406408917315,1.21004577798082,0.726027466788487,0.242009155596156,-0.242009155596174,-0.726027466788505,-1.21004577798084,-1.69406408917317,-2.1780824003655,-3.92314572967033,4.33867355429193,2.16933677714595,1.68726193778018,1.20518709841441,0.723112259048644,0.241037419682875,-0.241037419682894,-0.723112259048663,-1.20518709841443,-1.6872619377802,-2.16933677714597,-3.89046829392941,4.29902848679488,2.14951424339743,1.67184441153133,1.19417457966524,0.716504747799137,0.23883491593304,-0.238834915933058,-0.716504747799155,-1.19417457966525,-1.67184441153135,-2.14951424339745
0.0119,-3.89923708769581,4.34565962712412,2.17282981356205,1.68997874388159,1.20712767420113,0.724276604520676,0.241425534840219,-0.241425534840238,-0.724276604520695,-1.20712767420115,-1.68997874388161,-2.17282981356207,-3.87753923138521,4.31535546140281,2.1576777307014,1.67819379054553,1.19870985038966,0.719225910233791,0.239741970077925,-0.239741970077942,-0.71922591023381,-1.19870985038968,-1.67819379054554,-2.15767773070141,-3.86467005191677,4.29772203882605,2.14886101941301,1.67133634843234,1.19381167745167,0.716287006470999,0.238762335490327,-0.238762335490345,-0.716287006471017,-1.19381167745169,-1.67133634843236,-2.14886101941303,-3.83498936449243,4.25776718081845,2.12888359040921,1.65579834809605,1.18271310578289,0.709627863469732,0.236542621156571,-0.23654262115659,-0.709627863469752,-1.18271310578291,-1.65579834809607,-2.12888359040924
0.012,-3.83526720582332,4.30046578574811,2.15023289287404,1.67240336112425,1.19457382937447,0.716744297624675,0.238914765874886,-0.238914765874904,-0.716744297624692,-1.19457382937448,-1.67240336112427,-2.15023289287406,-3.8163783015895,4.27136507515755,2.13568253757877,1.66108641811682,1.18649029865487,0.711894179192916,0.237298059730966,-0.237298059730985,-0.711894179192934,-1.18649029865488,-1.66108641811683,-2.13568253757878,-3.80499859122054,4.25401397855634,2.12700698927816,1.65433876943857,1.18167054959897,0.709002329759379,0.236334109919787,-0.236334109919805,-0.709002329759398,-1.18167054959899,-1.65433876943859,-2.12700698927818,-3.77840041997279,4.21416583233373,2.10708291616686,1.63884226812977,1.1706016200927,0.702360972055614,0.234120324018531,-0.23412032401855,-0.702360972055631,-1.17060162009271,-1.63884226812979,-2.10708291616687
0.0121,-3.77120025969775,4.25495912235163,2.12747956117581,1.65470632535896,1.18193308954211,0.709159853725264,0.236386617908415,-0.236386617908433,-0.709159853725281,-1.18193308954213,-1.65470632535898,-2.12747956117583,-3.75493270014074,4.22615655717486,2.11307827858742,1.64350532779021,1.17393237699301,0.7043594261958,0.234786475398594,-0.234786475398612,-0.704359426195818,-1.17393237699303,-1.64350532779023,-2.11307827858744,-3.74494420255007,4.20871080747178,2.10435540373588,1.63672086957235,1.16908633540882,0.701451801245287,0.233817267081757,-0.233817267081775,-0.701451801245305,-1.16908633540884,-1.63672086957237,-2.1043554037359,-3.72124018768805,4.16843563483078,2.08421781741538,1.62105830243418,1.15789878745299,0.694739272471787,0.23157975749059,-0.231579757490607,-0.694739272471806,-1.157898787453,-1.6210583024342,-2.0842178174154
0.0122,-3.70847839258669,4.21216071305661,2.10608035652829,1.638062499522,1.17004464251571,0.702026785509424,0.234008928503136,-0.234008928503154,-0.702026785509442,-1.17004464251573,-1.63806249952202,-2.10608035652831,-3.69410507781862,4.1807670911074,2.09038354555369,1.62585386876398,1.16132419197427,0.69679451518456,0.232264838394847,-0.232264838394865,-0.696794515184576,-1.16132419197429,-1.625853868764,-2.09038354555371,-3.68521732833652,4.16223276190795,2.08111638095397,1.6186460740753,1.15617576719664,0.693705460317981,0.231235153439321,-0.231235153439338,-0.693705460317999,-1.15617576719666,-1.61864607407532,-2.08111638095398,-3.66396644785817,4.12036365996461,2.0601818299823,1.60236364554178,1.14454546110127,0.686727276660759,0.228909092220247,-0.228909092220265,-0.686727276660776,-1.14454546110129,-1.6023636455418,-2.06018182998231
0.0123,-3.6472630198139,4.16858582881835,2.08429291440917,1.62111671120712,1.15794050800509,0.694764304803048,0.23158810160101,-0.231588101601028,-0.694764304803066,-1.15794050800511,-1.62111671120714,-2.08429291440918,-3.6341030602129,4.13282693891812,2.06641346945905,1.60721047624592,1.1480074830328,0.688804489819677,0.229601496606553,-0.22960149660657,-0.688804489819695,-1.14800748303282,-1.60721047624594,-2.06641346945907,-3.62603883901536,4.1126807164477,2.05634035822384,1.59937583417409,1.14241131012435,0.685446786074605,0.228482262024863,-0.22848226202488,-0.685446786074623,-1.14241131012437,-1.59937583417411,-2.05634035822386,-3.6068062415251,4.06878446505359,2.03439223252679,1.58230506974306,1.13021790695932,0.678130744175589,0.226043581391858,-0.226043581391876,-0.678130744175608,-1.13021790695934,-1.58230506974307,-2.03439223252681
0.0124,-3.58659378060676,4.11601111887783,2.0580055594389,1.6006709906747,1.1433364219105,0.686001853146294,0.228667284382092,-0.228667284382109,-0.686001853146313,-1.14333642191051,-1.60067099067472,-2.05800555943892,-3.5745326819711,4.07763899002845,2.03881949501422,1.58574849612217,1.13267749723012,0.679606498338066,0.226535499446016,-0.226535499446034,-0.679606498338084,-1.13267749723013,-1.58574849612218,-2.03881949501423,-3.56720672120966,4.05664231372049,2.02832115686024,1.5775831220024,1.12684508714457,0.676107052286739,0.225369017428908,-0.225369017428925,-0.676107052286757,-1.12684508714459,-1.57758312200242,-2.02832115686025,-3.54978482102045,4.01199674657445,2.00599837328722,1.56022095700117,1.11444354071512,0.668666124429067,0.222888708143017,-0.222888708143033,-0.668666124429085,-1.11444354071514,-1.56022095700119,-2.00599837328723
0.0125,-3.52570769349786,4.04871166378189,2.02435583189094,1.57449898035962,1.1246421288283,0.674785277296973,0.224928425765652,-0.22492842576567,-0.674785277296991,-1.12464212882831,-1.57449898035964,-2.02435583189095,-3.51506496074008,4.0119330792523,2.00596653962614,1.56019619748699,1.11442585534785,0.668655513208706,0.222885171069563,-0.22288517106958,-0.668655513208723,-1.11442585534787,-1.56019619748701,-2.00596653962616,-3.5085393625641,3.99174408021982,1.9958720401099,1.55234492008548,1.10881780006105,0.665290680036628,0.221763560012203,-0.221763560012221,-0.665290680036645,-1.10881780006107,-1.55234492008549,-1.99587204010991,-3.49289777960839,3.94883095230328,1.97441547615163,1.53565648145126,1.0968974867509,0.658138492050537,0.219379497350174,-0.21937949735019,-0.658138492050555,-1.09689748675092,-1.53565648145128,-1.97441547615165
0.0126,-3.46500701029833,3.96823938443797,1.98411969221898,1.54320420505921,1.10228871789943,0.661373230739654,0.220457743579879,-0.220457743579896,-0.66137323073967,-1.10228871789944,-1.54320420505922,-1.984119692219,-3.455917410767,3.93631934491833,1.96815967245915,1.53079085635712,1.09342204025508,0.656053224153044,0.21868440805101,-0.218684408051026,-0.656053224153062,-1.0934220402551,-1.53079085635714,-1.96815967245917,-3.45019404788196,3.91831625949439,1.95915812974718,1.52378965647003,1.08842118319288,0.653052709915722,0.217684236638569,-0.217684236638585,-0.653052709915739,-1.08842118319289,-1.52378965647005,-1.9591581297472,-3.43623484937272,3.87935114365867,1.93967557182933,1.50863655586725,1.07759753990518,0.646558523943104,0.215519507981029,-0.215519507981046,-0.646558523943121,-1.0775975399052,-1.50863655586727,-1.93967557182935
0.0127,-3.40559084061196,3.88068443583138,1.94034221791568,1.50915505837886,1.07796789884204,0.646780739305222,0.215593579768401,-0.215593579768419,-0.646780739305239,-1.07796789884206,-1.50915505837888,-1.9403422179157,-3.39762460006438,3.85399234352679,1.92699617176339,1.4987748002604,1.07055342875743,0.642332057254455,0.21411068575148,-0.214110685751495,-0.642332057254471,-1.07055342875745,-1.49877480026042,-1.9269961717634,-3.39251906396024,3.83857703540427,1.91928851770212,1.49277995821276,1.0662713987234,0.639762839234035,0.213254279744673,-0.21325427974469,-0.639762839234053,-1.06627139872342,-1.49277995821278,-1.91928851770214,-3.37992915566064,3.80459346381888,1.90229673190943,1.47956412481845,1.05683151772746,0.634098910636471,0.211366303545485,-0.211366303545502,-0.634098910636487,-1.05683151772748,-1.47956412481846,-1.90229673190945
0.0128,-3.34794449074173,3.79008319984204,1.89504159992101,1.47392124438301,1.052800888845,0.631680533306998,0.210560177768994,-0.21056017776901,-0.631680533307014,-1.05280088884502,-1.47392124438302,-1.89504159992103,-3.34040120508195,3.76751821279242,1.8837591063962,1.46514597164149,1.04653283688677,0.62791970213206,0.209306567377349,-0.209306567377364,-0.627919702132077,-1.04653283688679,-1.4651459716415,-1.88375910639622,-3.33564102811374,3.75453823546133,1.87726911773066,1.4600982026794,1.04292728762814,0.625756372576879,0.208585457525621,-0.208585457525637,-0.625756372576896,-1.04292728762816,-1.46009820267941,-1.87726911773067,-3.3240082843286,3.7257828737409,1.86289143687045,1.44891556201034,1.03493968715024,0.620963812290142,0.206987937430042,-0.206987937430058,-0.620963812290157,-1.03493968715026,-1.44891556201036,-1.86289143687046
0.0129,-3.2913358876799,3.69581452460562,1.8479072623028,1.4372612040133,1.02661514572378,0.615969087434263,0.205323029144749,-0.205323029144765,-0.615969087434278,-1.0266151457238,-1.43726120401331,-1.84790726230282,-3.28385236265839,3.67749108022611,1.83874554011305,1.43013542008792,1.0215253000628,0.612915180037676,0.204305060012554,-0.204305060012569,-0.612915180037692,-1.02152530006281,-1.43013542008794,-1.83874554011306,-3.27927775129734,3.66708070853121,1.8335403542656,1.42608694220657,1.01863353014755,0.611180118088526,0.203726706029503,-0.203726706029519,-0.611180118088541,-1.01863353014757,-1.42608694220659,-1.83354035426561,-3.26832645202493,3.64391691152322,1.8219584557616,1.41707879892568,1.01219914208977,0.607319485253859,0.202439828417948,-0.202439828417964,-0.607319485253873,-1.01219914208979,-1.4170787989257,-1.82195845576162
