time_s,w_center_04_modes_mm,theta_span_04_modes_K,theta_layer_01_04_modes_K,theta_layer_02_04_modes_K,theta_layer_03_04_modes_K,theta_layer_04_04_modes_K,theta_layer_05_04_modes_K,theta_layer_06_04_modes_K,theta_layer_07_04_modes_K,theta_layer_08_04_modes_K,theta_layer_09_04_modes_K,theta_layer_10_04_modes_K,w_center_06_modes_mm,theta_span_06_modes_K,theta_layer_01_06_modes_K,theta_layer_02_06_modes_K,theta_layer_03_06_modes_K,theta_layer_04_06_modes_K,theta_layer_05_06_modes_K,theta_layer_06_06_modes_K,theta_layer_07_06_modes_K,theta_layer_08_06_modes_K,theta_layer_09_06_modes_K,theta_layer_10_06_modes_K,w_center_08_modes_mm,theta_span_08_modes_K,theta_layer_01_08_modes_K,theta_layer_02_08_modes_K,theta_layer_03_08_modes_K,theta_layer_04_08_modes_K,theta_layer_05_08_modes_K,theta_layer_06_08_modes_K,theta_layer_07_08_modes_K,theta_layer_08_08_modes_K,theta_layer_09_08_modes_K,theta_layer_10_08_modes_K,w_center_12_modes_mm,theta_span_12_modes_K,theta_layer_01_12_modes_K,theta_layer_02_12_modes_K,theta_layer_03_12_modes_K,theta_layer_04_12_modes_K,theta_layer_05_12_modes_K,theta_layer_06_12_modes_K,theta_layer_07_12_modes_K,theta_layer_08_12_modes_K,theta_layer_09_12_modes_K,theta_layer_10_12_modes_K,w_center_16_modes_mm,theta_span_16_modes_K,theta_layer_01_16_modes_K,theta_layer_02_16_modes_K,theta_layer_03_16_modes_K,theta_layer_04_16_modes_K,theta_layer_05_16_modes_K,theta_layer_06_16_modes_K,theta_layer_07_16_modes_K,theta_layer_08_16_modes_K,theta_layer_09_16_modes_K,theta_layer_10_16_modes_K
0.0122,-3.68657764862304,4.15376583047616,2.07688291523807,1.61535337851849,1.15382384179892,0.69229430507935,0.230764768359778,-0.230764768359795,-0.692294305079367,-1.15382384179894,-1.61535337851851,-2.07688291523809,-3.68582479547791,4.15539297418946,2.07769648709472,1.61598615662922,1.15427582616372,0.692565495698234,0.230855165232738,-0.230855165232756,-0.69256549569825,-1.15427582616374,-1.61598615662924,-2.07769648709474,-3.686391740557,4.16736592227911,2.08368296113955,1.62064230310854,1.15760164507752,0.694560987046511,0.231520329015497,-0.231520329015515,-0.694560987046529,-1.15760164507754,-1.62064230310855,-2.08368296113956,-3.68636229106531,4.1674041399441,2.08370206997204,1.62065716553381,1.15761226109557,0.694567356657338,0.231522452219108,-0.231522452219125,-0.694567356657357,-1.15761226109559,-1.62065716553382,-2.08370206997206,-3.68521732833652,4.16223276190795,2.08111638095397,1.6186460740753,1.15617576719664,0.693705460317981,0.231235153439321,-0.231235153439338,-0.693705460317999,-1.15617576719666,-1.61864607407532,-2.08111638095398
0.0123,-3.62666194907598,4.09831023790003,2.04915511895,1.59378731473889,1.13841951052778,0.683051706316662,0.227683902105549,-0.227683902105566,-0.68305170631668,-1.1384195105278,-1.59378731473891,-2.04915511895002,-3.62611428718659,4.09949390114975,2.04974695057487,1.59424762822489,1.13874830587492,0.683248983524948,0.227749661174978,-0.227749661174994,-0.683248983524967,-1.13874830587494,-1.59424762822491,-2.04974695057488,-3.62691496428623,4.11640288528981,2.0582014426449,1.60082334427936,1.14344524591383,0.686067147548293,0.228689049182758,-0.228689049182776,-0.686067147548309,-1.14344524591384,-1.60082334427938,-2.05820144264491,-3.6268851382389,4.11644159162459,2.05822079581229,1.60083839674289,1.14345599767349,0.686073598604089,0.228691199534691,-0.228691199534708,-0.686073598604105,-1.14345599767351,-1.60083839674291,-2.0582207958123,-3.62603883901536,4.1126807164477,2.05634035822384,1.59937583417409,1.14241131012435,0.685446786074605,0.228482262024863,-0.22848226202488,-0.685446786074623,-1.14241131012437,-1.59937583417411,-2.05634035822386
0.0124,-3.56722548758941,4.03736006605572,2.01868003302785,1.57008447013277,1.12148890723769,0.67289334434261,0.224297781447531,-0.224297781447548,-0.672893344342627,-1.12148890723771,-1.57008447013279,-2.01868003302787,-3.56684938589237,4.03817293575795,2.01908646787897,1.57040058612808,1.1217147043772,0.673028822626317,0.224342940875433,-0.22434294087545,-0.673028822626334,-1.12171470437721,-1.5704005861281,-2.01908646787898,-3.56785800238311,4.05947325801402,2.029736629007,1.57868404478322,1.12763146055944,0.67657887633566,0.225526292111881,-0.225526292111898,-0.676578876335678,-1.12763146055946,-1.57868404478324,-2.02973662900702,-3.56783396570353,4.05950445127798,2.02975222563898,1.57869617549698,1.12764012535498,0.676584075212987,0.22552802507099,-0.225528025071007,-0.676584075213005,-1.127640125355,-1.578696175497,-2.029752225639,-3.56720672120966,4.05664231372049,2.02832115686024,1.5775831220024,1.12684508714457,0.676107052286739,0.225369017428908,-0.225369017428925,-0.676107052286757,-1.12684508714459,-1.57758312200242,-2.02832115686025
0.0125,-3.50845021058463,3.97090860316587,1.98545430158293,1.5442422345645,1.10303016754607,0.661818100527639,0.220606033509207,-0.220606033509224,-0.661818100527656,-1.10303016754608,-1.54424223456451,-1.98545430158295,-3.5081703475387,3.97151347198886,1.98575673599442,1.54447746132899,1.10319818666356,0.661918911998132,0.220639637332705,-0.220639637332723,-0.661918911998151,-1.10319818666358,-1.54447746132901,-1.98575673599444,-3.5092945027508,3.99525378211016,1.99762689105507,1.55370980415394,1.10979271725281,0.665875630351686,0.221958543450556,-0.221958543450573,-0.665875630351703,-1.10979271725283,-1.55370980415396,-1.99762689105509,-3.50927800836658,3.99527518746605,1.99763759373302,1.55371812845901,1.10979866318501,0.665879197910999,0.221959732636994,-0.221959732637011,-0.665879197911016,-1.10979866318502,-1.55371812845903,-1.99763759373303,-3.5085393625641,3.99174408021982,1.9958720401099,1.55234492008548,1.10881780006105,0.665290680036628,0.221763560012203,-0.221763560012221,-0.665290680036645,-1.10881780006107,-1.55234492008549,-1.99587204010991
0.0126,-3.45042044739832,3.89916658861151,1.94958329430575,1.5163425622378,1.08310183016985,0.649861098101908,0.216620366033964,-0.216620366033981,-0.649861098101925,-1.08310183016987,-1.51634256223781,-1.94958329430576,-3.45013856522775,3.89977582137451,1.94988791068725,1.51657948609008,1.08327106149291,0.649962636895742,0.216654212298575,-0.216654212298592,-0.649962636895758,-1.08327106149293,-1.51657948609009,-1.94988791068726,-3.45124956508892,3.92323831210978,1.96161915605488,1.52570378804268,1.08978842003048,0.653873052018289,0.21795768400609,-0.217957684006107,-0.653873052018304,-1.0897884200305,-1.5257037880427,-1.9616191560549,-3.45123670625693,3.92325499947872,1.96162749973935,1.52571027757504,1.08979305541075,0.653875833246446,0.217958611082143,-0.217958611082159,-0.653875833246461,-1.08979305541076,-1.52571027757506,-1.96162749973937,-3.45019404788196,3.91831625949439,1.95915812974718,1.52378965647003,1.08842118319288,0.653052709915722,0.217684236638569,-0.217684236638585,-0.653052709915739,-1.08842118319289,-1.52378965647005,-1.9591581297472
0.0127,-3.39312414636613,3.82254963379592,1.91127481689795,1.48654707980951,1.06181934272108,0.637091605632645,0.212363868544209,-0.212363868544226,-0.637091605632662,-1.0618193427211,-1.48654707980953,-1.91127481689797,-3.39274326521087,3.82337283335521,1.9116864166776,1.48686721297146,1.06204800926533,0.637228805559194,0.212409601853059,-0.212409601853075,-0.63722880555921,-1.06204800926534,-1.48686721297148,-1.91168641667761,-3.39371782565339,3.84395394785634,1.92197697392816,1.4948709797219,1.06776498551564,0.64065899130938,0.213552997103122,-0.213552997103138,-0.640658991309397,-1.06776498551566,-1.49487097972192,-1.92197697392818,-3.39370203527163,3.8439744396029,1.92198721980144,1.49487894873445,1.06777067766746,0.640662406600474,0.213554135533486,-0.213554135533503,-0.640662406600491,-1.06777067766748,-1.49487894873447,-1.92198721980146,-3.39251906396024,3.83857703540427,1.91928851770212,1.49277995821276,1.0662713987234,0.639762839234035,0.213254279744673,-0.21325427974469,-0.639762839234053,-1.06627139872342,-1.49277995821278,-1.91928851770214
0.0128,-3.3364589953788,3.74165414440166,1.87082707220082,1.45508772282286,1.0393483734449,0.623609024066935,0.207869674688973,-0.207869674688989,-0.623609024066952,-1.03934837344491,-1.45508772282287,-1.87082707220084,-3.33590712167397,3.74284691066045,1.87142345533022,1.45555157636795,1.03967969740567,0.623807818443399,0.207935939481129,-0.207935939481144,-0.623807818443415,-1.03967969740569,-1.45555157636796,-1.87142345533023,-3.33666695020711,3.75889324022558,1.87944662011278,1.46179181564327,1.04413701117376,0.626482206704255,0.208827402234746,-0.208827402234762,-0.626482206704271,-1.04413701117378,-1.46179181564329,-1.8794466201128,-3.33664394487336,3.75892309507495,1.87946154753747,1.46180342586247,1.04414530418748,0.626487182512482,0.208829060837489,-0.208829060837505,-0.626487182512498,-1.04414530418749,-1.46180342586248,-1.87946154753748,-3.33564102811374,3.75453823546133,1.87726911773066,1.4600982026794,1.04292728762814,0.625756372576879,0.208585457525621,-0.208585457525637,-0.625756372576896,-1.04292728762816,-1.46009820267941,-1.87726911773067
0.0129,-3.28024297613879,3.65722337841688,1.82861168920843,1.422253536051,1.01589538289357,0.609537229736138,0.203179076578708,-0.203179076578723,-0.609537229736155,-1.01589538289358,-1.42225353605101,-1.82861168920845,-3.27949051084893,3.65884968385745,1.82942484192872,1.42288598816678,1.01634713440484,0.6098082806429,0.203269426880961,-0.203269426880977,-0.609808280642915,-1.01634713440486,-1.42288598816679,-1.82942484192873,-3.28002706177269,3.67018075735055,1.83509037867527,1.42729251674742,1.01949465481959,0.611696792891749,0.203898930963912,-0.203898930963927,-0.611696792891765,-1.0194946548196,-1.42729251674744,-1.83509037867528,-3.27999800927171,3.67021845982641,1.8351092299132,1.42730717882137,1.01950512772955,0.611703076637726,0.203901025545904,-0.203901025545919,-0.611703076637742,-1.01950512772957,-1.42730717882139,-1.83510922991321,-3.27927775129734,3.66708070853121,1.8335403542656,1.42608694220657,1.01863353014755,0.611180118088526,0.203726706029503,-0.203726706029519,-0.611180118088541,-1.01863353014757,-1.42608694220659,-1.83354035426561
0.013,-3.22422867411048,3.57010584106884,1.78505292053442,1.38837449374898,0.991696066963558,0.595017640178132,0.198339213392706,-0.198339213392721,-0.595017640178148,-0.991696066963574,-1.388374493749,-1.78505292053443,-3.22329531352357,3.57212311604613,1.78606155802306,1.38915898957349,0.992256421123916,0.595353852674346,0.198451284224777,-0.198451284224793,-0.595353852674362,-0.992256421123931,-1.3891589895735,-1.78606155802307,-3.22367189497189,3.580075897186,1.79003794859299,1.39225173779455,0.994465526996104,0.596679316197658,0.198893105399215,-0.19889310539923,-0.596679316197674,-0.994465526996119,-1.39225173779456,-1.79003794859301,-3.22364246415173,3.58011409062027,1.79005704531013,1.39226659079676,0.9944761362834,0.596685681770037,0.198895227256673,-0.19889522725669,-0.596685681770052,-0.994476136283415,-1.39226659079678,-1.79005704531014,-3.22297861461289,3.5769724374996,1.78848621874979,1.39104483680539,0.993603454860993,0.596162072916593,0.198720690972192,-0.198720690972208,-0.596162072916608,-0.993603454861008,-1.3910448368054,-1.78848621874981
0.0131,-3.16812048246294,3.48120864120396,1.74060432060197,1.3538033604682,0.967002400334426,0.580201440200652,0.193400480066879,-0.193400480066894,-0.580201440200667,-0.967002400334441,-1.35380336046822,-1.74060432060199,-3.1670700076509,3.48347903549991,1.74173951774995,1.35468629158329,0.967633065416637,0.580579839249976,0.193526613083321,-0.193526613083336,-0.580579839249992,-0.96763306541665,-1.3546862915833,-1.74173951774996,-3.16740077097542,3.49046421318383,1.74523210659191,1.35740274957148,0.969573392551058,0.581744035530632,0.193914678510206,-0.193914678510221,-0.581744035530646,-0.969573392551074,-1.3574027495715,-1.74523210659192,-3.16737683251893,3.49049527898016,1.74524763949007,1.3574148307145,0.969582021938926,0.581749213163353,0.193916404387779,-0.193916404387794,-0.581749213163367,-0.969582021938941,-1.35741483071451,-1.74524763949009,-3.16648622533252,3.48613438973023,1.74306719486511,1.35571892933952,0.968370663813944,0.581022398288364,0.193674132762783,-0.193674132762798,-0.581022398288379,-0.968370663813959,-1.35571892933954,-1.74306719486512
0.0132,-3.1115937076289,3.39144868937685,1.69572434468842,1.31889671253543,0.94206908038245,0.565241448229467,0.188413816076484,-0.188413816076499,-0.565241448229481,-0.942069080382465,-1.31889671253545,-1.69572434468843,-3.11051803357571,3.39377354686669,1.69688677343334,1.31980082378148,0.942714874129628,0.565628924477775,0.18854297482592,-0.188542974825934,-0.565628924477789,-0.942714874129642,-1.3198008237815,-1.69688677343335,-3.11093081135342,3.40249073498124,1.70124536749061,1.32319084138159,0.94513631527256,0.567081789163533,0.189027263054506,-0.189027263054521,-0.567081789163548,-0.945136315272573,-1.3231908413816,-1.70124536749063,-3.11091404904112,3.40251248803703,1.70125624401851,1.32319930090329,0.945142357788058,0.567085414672831,0.189028471557606,-0.18902847155762,-0.567085414672845,-0.945142357788073,-1.3231993009033,-1.70125624401853,-3.10978463975772,3.39719447852556,1.69859723926277,1.32113118609327,0.943665132923763,0.566199079754255,0.188733026584747,-0.188733026584761,-0.566199079754268,-0.943665132923778,-1.32113118609328,-1.69859723926279
0.0133,-3.05431451260153,3.30170469242639,1.65085234621319,1.28399626927692,0.917140192340654,0.55028411540439,0.183428038468125,-0.183428038468139,-0.550284115404403,-0.91714019234067,-1.28399626927693,-1.6508523462132,-3.05331098384618,3.30387362207216,1.65193681103607,1.28483974191695,0.917742672797815,0.550645603678686,0.183548534559557,-0.183548534559571,-0.550645603678701,-0.91774267279783,-1.28483974191696,-1.65193681103609,-3.05390607092723,3.31644088298167,1.65822044149083,1.28972701004842,0.921233578606012,0.552740147163604,0.184246715721197,-0.184246715721211,-0.552740147163618,-0.921233578606026,-1.28972701004844,-1.65822044149084,-3.05389278339811,3.3164581266863,1.65822906334314,1.28973371593356,0.921238368523967,0.552743021114378,0.184247673704788,-0.184247673704802,-0.55274302111439,-0.921238368523982,-1.28973371593357,-1.65822906334316,-3.05278737854221,3.31157403548252,1.65578701774125,1.28783434713208,0.919881676522913,0.551929005913746,0.183976335304578,-0.183976335304592,-0.55192900591376,-0.919881676522929,-1.2878343471321,-1.65578701774127
0.0134,-2.9959596242874,3.21277279062641,1.6063863953132,1.24941164079915,0.892436886285107,0.535462131771061,0.178487377257016,-0.178487377257029,-0.535462131771075,-0.892436886285119,-1.24941164079916,-1.60638639531321,-2.9951071638287,3.21461521591903,1.60730760795951,1.25012813952406,0.892948671088612,0.535769202653164,0.178589734217717,-0.178589734217731,-0.535769202653178,-0.892948671088628,-1.25012813952407,-1.60730760795952,-2.99592532900888,3.23189351957217,1.61594675978608,1.25684747983362,0.897748199881154,0.538648919928688,0.179549639976225,-0.179549639976239,-0.538648919928703,-0.897748199881167,-1.25684747983363,-1.61594675978609,-2.99590927172278,3.23191435769011,1.61595717884505,1.25685558354614,0.897753988247248,0.538652392948345,0.179550797649443,-0.179550797649458,-0.538652392948359,-0.897753988247263,-1.25685558354616,-1.61595717884506,-2.99505264446692,3.22830382501995,1.61415191250997,1.25545148750775,0.896751062505536,0.538050637503318,0.179350212501101,-0.179350212501116,-0.538050637503331,-0.896751062505549,-1.25545148750776,-1.61415191250998
