case_id,status,center_node_id,old_w_center_mm,new_w_center_mm,diff_w_center_mm,message
O_Vf10_elastic,ok,1411,-0.235558061835549,-1.38375933644618,-1.14820127461063,
O_Vf10_electro,ok,1411,-0.00118819287725513,-0.00942436062557902,-0.00823616774832389,
O_Vf10_magneto,ok,1411,0.136457974595476,1.08234040739859,0.945882432803114,
O_Vf20_elastic,ok,1411,-0.2599283887332,-1.52817634127912,-1.26824795254592,
O_Vf20_electro,ok,1411,-0.00243871944131374,-0.01930024837262,-0.0168615289313062,
O_Vf20_magneto,ok,1411,0.121249652102215,0.959580819760096,0.838331167657881,
O_Vf30_elastic,ok,1411,-0.289378966236841,-1.70285384851645,-1.41347488227961,
O_Vf30_electro,ok,1411,-0.00376136356833763,-0.0296858117796326,-0.025924448211295,
O_Vf30_magneto,ok,1411,0.101862717978082,0.803931185684087,0.702068467706005,
O_Vf40_elastic,ok,1411,-0.326103966038378,-1.92090764993798,-1.59480368389961,
O_Vf40_electro,ok,1411,-0.00517317094658224,-0.0406979810569815,-0.0355248101103992,
O_Vf40_magneto,ok,1411,0.0768637741590585,0.604696898093501,0.527833123934443,
O_Vf50_elastic,ok,1411,-0.373343354596645,-2.20173769522044,-1.82839434062379,
O_Vf50_electro,ok,1411,-0.006701875077786,-0.0525318921788767,-0.0458300171010907,
O_Vf50_magneto,ok,1411,0.0437424344884063,0.342870140898489,0.299127706410082,
O_Vf60_elastic,ok,1411,-0.435353488035499,-2.57091498017972,-2.13556149214422,
O_Vf60_electro,ok,1411,-0.00837920965340048,-0.065404578505409,-0.0570253688520085,
O_Vf60_magneto,ok,1411,-0.00198118114862569,-0.0154642649279559,-0.0134830837793302,
O_Vf70_elastic,ok,1411,-0.509190332120388,-3.0112219069667,-2.50203157484631,
O_Vf70_electro,ok,1411,-0.00999697828658599,-0.0776922391691327,-0.0676952608825467,
O_Vf70_magneto,ok,1411,-0.0662750016819507,-0.515060964812101,-0.44878596313015,
O_Vf80_elastic,ok,1411,-0.583388561520459,-3.45440420004571,-2.87101563852525,
O_Vf80_electro,ok,1411,-0.0110952648314549,-0.0858923311686254,-0.0747970663371705,
O_Vf80_magneto,ok,1411,-0.151476086162662,-1.17262943736795,-1.02115335120528,
O_Vf90_elastic,ok,1411,-0.646578313799472,-3.83234812671849,-3.18576981291902,
O_Vf90_electro,ok,1411,-0.01118334328674,-0.0863157870131477,-0.0751324437264076,
O_Vf90_magneto,ok,1411,-0.253270203898009,-1.95480156654922,-1.70153136265122,
P_Vf10_elastic,ok,1411,-0.220897816944808,-1.29693702290412,-1.07603920595931,
P_Vf10_electro,ok,1411,-0.000469233509719909,-0.00372307045307198,-0.00325383694335207,
P_Vf10_magneto,ok,1411,0.142257814169471,1.12959059981734,0.987332785647869,
P_Vf20_elastic,ok,1411,-0.227652573551655,-1.33694333216046,-1.10929075860881,
P_Vf20_electro,ok,1411,-0.000922332190765598,-0.00730804055957963,-0.00638570836881404,
P_Vf20_magneto,ok,1411,0.135598442493109,1.07629290991547,0.94069446742236,
P_Vf30_elastic,ok,1411,-0.23483853203011,-1.37951835985433,-1.14467982782422,
P_Vf30_electro,ok,1411,-0.00135461840077576,-0.0107163623873174,-0.00936174398654168,
P_Vf30_magneto,ok,1411,0.128124229156233,1.0166409373464,0.888516708190172,
P_Vf40_elastic,ok,1411,-0.2426981349424,-1.42610621163165,-1.18340807668925,
P_Vf40_electro,ok,1411,-0.0017604231408153,-0.0139024864181599,-0.0121420632773446,
P_Vf40_magneto,ok,1411,0.11986246302887,0.950947594971295,0.831085131942425,
P_Vf50_elastic,ok,1411,-0.251321007423996,-1.47724146825683,-1.22592046083284,
P_Vf50_electro,ok,1411,-0.00213644015895951,-0.0168408356168684,-0.0147043954579089,
P_Vf50_magneto,ok,1411,0.110668273587146,0.878147842209415,0.767479568622269,
P_Vf60_elastic,ok,1411,-0.260879905158312,-1.53396101815912,-1.27308111300081,
P_Vf60_electro,ok,1411,-0.00247371882909714,-0.0194610672573682,-0.016987348428271,
