time_s,w_center_mm,theta_span_K,theta_layer_01_K,theta_layer_02_K,theta_layer_03_K,theta_layer_04_K,theta_layer_05_K,theta_layer_06_K,theta_layer_07_K,theta_layer_08_K,theta_layer_09_K,theta_layer_10_K
0.0022,-0.618052177264788,0.55797290393589,0.278986451967944,0.216989462641734,0.154992473315524,0.0929954839893139,0.0309984946631038,-0.0309984946631062,-0.0929954839893163,-0.154992473315526,-0.216989462641737,-0.278986451967946
0.0023,-0.657226999112102,0.632150608718364,0.31607530435918,0.245836347834917,0.175597391310655,0.105358434786393,0.0351194782621299,-0.0351194782621326,-0.105358434786395,-0.175597391310658,-0.24583634783492,-0.316075304359183
0.0024,-0.698831446972748,0.709312293507277,0.354656146753637,0.275843669697272,0.197031192640909,0.118218715584544,0.0394062385281806,-0.0394062385281834,-0.118218715584547,-0.197031192640912,-0.275843669697275,-0.35465614675364
0.0025,-0.743061010037801,0.786804453665544,0.39340222683277,0.305979509758821,0.218556792684872,0.131134075610922,0.043711358536973,-0.0437113585369763,-0.131134075610925,-0.218556792684875,-0.305979509758824,-0.393402226832773
0.0026,-0.790058367875962,0.861702929107052,0.430851464553525,0.33510669465274,0.239361924751957,0.143617154851173,0.0478723849503899,-0.0478723849503935,-0.143617154851177,-0.23936192475196,-0.335106694652744,-0.430851464553528
0.0027,-0.83994357597557,0.931630018616519,0.465815009308257,0.362300562795311,0.258786116282364,0.155271669769418,0.0517572232564713,-0.0517572232564751,-0.155271669769422,-0.258786116282368,-0.362300562795315,-0.465815009308261
0.0028,-0.892833131886759,0.995438460148413,0.497719230074205,0.387114956724381,0.276510683374557,0.165906410024733,0.0553021366749097,-0.0553021366749138,-0.165906410024737,-0.276510683374561,-0.387114956724384,-0.497719230074209
0.0029,-0.948839061985689,1.05354491009048,0.526772455045238,0.409711909479629,0.29265136391402,0.175590818348411,0.0585302727828023,-0.0585302727828066,-0.175590818348415,-0.292651363914024,-0.409711909479633,-0.526772455045242
0.003,-1.00804632330094,1.1078080923256,0.5539040461628,0.430814258126621,0.307724470090442,0.184634682054265,0.0615448940180867,-0.0615448940180915,-0.18463468205427,-0.307724470090447,-0.430814258126626,-0.553904046162804
0.0031,-1.07047468563945,1.16099177142091,0.580495885710453,0.451496799997018,0.322497714283584,0.193498628570149,0.0644995428567147,-0.0644995428567197,-0.193498628570154,-0.322497714283589,-0.451496799997023,-0.580495885710458
0.0032,-1.13603733066483,1.21598322398425,0.607991611992121,0.472882364882759,0.337773117773398,0.202663870664038,0.0675546235546776,-0.067554623554683,-0.202663870664044,-0.337773117773405,-0.472882364882764,-0.607991611992126
0.0033,-1.20451068926052,1.27501224826702,0.637506124133507,0.495838096548283,0.354170068963058,0.212502041377834,0.0708340137926094,-0.070834013792615,-0.21250204137784,-0.354170068963064,-0.495838096548288,-0.637506124133514
0.0034,-1.27552771323551,1.33911084226938,0.669555421134688,0.520765327549201,0.371975233963715,0.223185140378228,0.0743950467927404,-0.0743950467927465,-0.223185140378233,-0.37197523396372,-0.520765327549207,-0.669555421134694
0.0035,-1.34860045812576,1.4079721567199,0.703986078359948,0.547544727613293,0.391103376866636,0.234662026119981,0.0782206753733248,-0.0782206753733309,-0.234662026119987,-0.391103376866642,-0.547544727613298,-0.703986078359955
0.0036,-1.4231694199476,1.48023646857733,0.74011823428866,0.575647515557845,0.411176796827031,0.246706078096218,0.0822353593654037,-0.0822353593654102,-0.246706078096224,-0.411176796827037,-0.575647515557853,-0.740118234288667
0.0037,-1.4986690890484,1.55409453329796,0.777047266648974,0.604370096282535,0.431692925916097,0.259015755549656,0.0863385851832166,-0.0863385851832234,-0.259015755549663,-0.431692925916104,-0.604370096282543,-0.777047266648982
0.0038,-1.57459412222402,1.62799912074727,0.813999560373634,0.633110769179492,0.45222197798535,0.271333186791208,0.0904443955970673,-0.0904443955970746,-0.271333186791216,-0.452221977985358,-0.633110769179498,-0.813999560373641
0.0039,-1.65054998164784,1.70124540876285,0.85062270438142,0.661595436741104,0.472568169100787,0.28354090146047,0.0945136338201543,-0.0945136338201617,-0.283540901460478,-0.472568169100794,-0.661595436741112,-0.850622704381427
0.004,-1.72627606688543,1.7742289731207,0.887114486560347,0.689977933991379,0.492841381422413,0.295704828853446,0.0985682762844794,-0.0985682762844872,-0.295704828853454,-0.492841381422419,-0.689977933991387,-0.887114486560355
0.0041,-1.80163705051048,1.84829975948888,0.924149879744433,0.718783239801223,0.513416599858017,0.308049959914809,0.1026833199716,-0.102683319971608,-0.308049959914816,-0.513416599858024,-0.718783239801231,-0.924149879744442
0.0042,-1.87658702361967,1.92526530215209,0.96263265107604,0.748714284170251,0.534795917264464,0.320877550358676,0.10695918345289,-0.106959183452898,-0.320877550358685,-0.534795917264472,-0.748714284170259,-0.962632651076049
0.0043,-1.95111850380094,2.00671244351832,1.00335622175916,0.780388172479342,0.557420123199528,0.334452073919715,0.111484024639902,-0.111484024639911,-0.334452073919724,-0.557420123199538,-0.780388172479351,-1.00335622175916
0.0044,-2.02521214422144,2.09337636394023,1.04668818197011,0.81409080819897,0.581493434427838,0.348896060656699,0.116298686885563,-0.116298686885572,-0.348896060656709,-0.581493434427846,-0.814090808198979,-1.04668818197012
0.0045,-2.09880202253846,2.18476997039372,1.09238498519685,0.849632766264219,0.606880547331583,0.364128328398948,0.121376109466313,-0.121376109466322,-0.364128328398957,-0.606880547331592,-0.849632766264228,-1.09238498519686
0.0046,-2.17176604478801,2.27920132748391,1.13960066374195,0.886356071799295,0.633111479856637,0.37986688791398,0.126622295971323,-0.126622295971333,-0.37986688791399,-0.633111479856646,-0.886356071799303,-1.13960066374196
0.0047,-2.24394295859423,2.37418008109838,1.18709004054918,0.923292253760476,0.659494466971769,0.395696680183059,0.13189889339435,-0.13189889339436,-0.395696680183069,-0.659494466971779,-0.923292253760487,-1.1870900405492
0.0048,-2.31516921153705,2.46708714900909,1.23354357450454,0.959422780170195,0.685301985835852,0.41118119150151,0.137060397167166,-0.137060397167177,-0.41118119150152,-0.685301985835863,-0.959422780170206,-1.23354357450455
0.0049,-2.38532291863904,2.55589643185618,1.27794821592808,0.993959723499616,0.709971231071155,0.42598273864269,0.141994246214227,-0.141994246214237,-0.425982738642701,-0.709971231071165,-0.993959723499627,-1.27794821592809
0.005,-2.45436028061025,2.6397204075176,1.3198602037588,1.02655793625684,0.733255668754883,0.439953401252928,0.146651133750972,-0.146651133750983,-0.43995340125294,-0.733255668754895,-1.02655793625685,-1.31986020375881
0.0051,-2.52233241611521,2.71900828256544,1.35950414128271,1.05739210988655,0.755280078490392,0.453168047094234,0.151056015698075,-0.151056015698085,-0.453168047094245,-0.755280078490404,-1.05739210988657,-1.35950414128273
0.0052,-2.58937683413247,2.79533708291332,1.39766854145665,1.08707553224406,0.776482523031472,0.46588951381888,0.15529650460629,-0.155296504606302,-0.465889513818893,-0.776482523031483,-1.08707553224408,-1.39766854145667
0.0053,-2.6556856799215,2.87086625176356,1.43543312588177,1.11644798679693,0.797462847712094,0.478477708627254,0.159492569542414,-0.159492569542426,-0.478477708627266,-0.797462847712106,-1.11644798679695,-1.43543312588179
0.0054,-2.72145998425253,2.94763285104173,1.47381642552086,1.146301664294,0.818786903067138,0.491272141840281,0.163757380613423,-0.163757380613435,-0.491272141840293,-0.818786903067153,-1.14630166429401,-1.47381642552087
0.0055,-2.78686327829897,3.02691313905377,1.51345656952688,1.17713288740979,0.840809205292708,0.504485523175623,0.168161841058536,-0.168161841058549,-0.504485523175634,-0.840809205292722,-1.1771328874098,-1.51345656952689
0.0056,-2.85198791133851,3.10885186037628,1.55442593018813,1.20899794570188,0.863569961215628,0.518141976729372,0.17271399224312,-0.172713992243133,-0.518141976729387,-0.863569961215641,-1.20899794570189,-1.55442593018815
0.0057,-2.91684333212892,3.19247149881217,1.59623574940608,1.24151669398251,0.886797638558929,0.532078583135354,0.17735952771178,-0.177359527711794,-0.532078583135368,-0.886797638558943,-1.24151669398252,-1.59623574940609
0.0058,-2.98136881083575,3.27604929993292,1.63802464996645,1.27401917219613,0.910013694425804,0.54600821665548,0.182002738885156,-0.182002738885169,-0.546008216655494,-0.91001369442582,-1.27401917219614,-1.63802464996647
0.0059,-3.04546572144304,3.35773057450488,1.67886528725243,1.30578411230745,0.932702937362461,0.559621762417474,0.186540587472486,-0.186540587472501,-0.559621762417488,-0.932702937362475,-1.30578411230746,-1.67886528725245
0.006,-3.10903882330446,3.43617121429182,1.7180856071459,1.33628880555792,0.954492003969943,0.572695202381962,0.190898400793983,-0.190898400793997,-0.572695202381977,-0.954492003969958,-1.33628880555794,-1.71808560714592
0.0061,-3.17203364326026,3.51099466762001,1.75549733381,1.36538681518555,0.975276296561109,0.585165777936661,0.195055259312215,-0.195055259312231,-0.585165777936675,-0.975276296561121,-1.36538681518557,-1.75549733381001
0.0062,-3.23445865985094,3.58291091009529,1.79145545504764,1.39335424281482,0.995253030582015,0.597151818349205,0.199050606116397,-0.199050606116412,-0.597151818349221,-0.99525303058203,-1.39335424281484,-1.79145545504765
0.0063,-3.29638589956443,3.65345664402111,1.82672832201055,1.42078869489709,1.01484906778363,0.608909440670175,0.202969813556721,-0.202969813556736,-0.608909440670191,-1.01484906778365,-1.4207886948971,-1.82672832201056
0.0064,-3.35793015639465,3.72444064086157,1.86222032043078,1.44839358255727,1.03456684468376,0.620740106810253,0.206913368936746,-0.206913368936762,-0.620740106810271,-1.03456684468378,-1.44839358255728,-1.8622203204308
0.0065,-3.41921327270486,3.79727535947276,1.89863767973637,1.47671819535051,1.05479871096465,0.632879226578785,0.210959742192923,-0.210959742192939,-0.632879226578802,-1.05479871096466,-1.47671819535053,-1.89863767973639
0.0066,-3.48032390781984,3.87241433758167,1.93620716879083,1.50593890905953,1.07567064932823,0.645402389596935,0.21513412986564,-0.215134129865656,-0.645402389596951,-1.07567064932825,-1.50593890905955,-1.93620716879084
0.0067,-3.54128388002738,3.94908210290712,1.97454105145355,1.53575415113054,1.09696725080753,0.658180350484509,0.219393450161498,-0.219393450161515,-0.658180350484528,-1.09696725080754,-1.53575415113056,-1.97454105145357
0.0068,-3.60202948574955,4.02539020318819,2.01269510159408,1.56542952346206,1.11816394533004,0.67089836719802,0.223632789066002,-0.223632789066019,-0.670898367198038,-1.11816394533006,-1.56542952346208,-2.0126951015941
0.0069,-3.66241119965269,4.09880954307656,2.04940477153827,1.5939814889742,1.13855820641014,0.683134923846084,0.227711641282021,-0.227711641282039,-0.6831349238461,-1.13855820641016,-1.59398148897422,-2.04940477153829
0.007,-3.72220953202475,4.16685528763533,2.08342764381766,1.62044372296929,1.15745980212092,0.694475881272547,0.231491960424177,-0.231491960424194,-0.694475881272563,-1.15745980212093,-1.62044372296931,-2.08342764381768
