case_id,fg_mode,vf0,e0,porosity_name,porosity_mode,load_case,input_file,w_center_mm,theta_mean_K,theta_min_K,theta_max_K,theta_span_K,magnetoelectric_efficiency,load_scale,volt,magnetic,status,message,output_mat
U_Vf90_e10_LogUneven_electro,U,0.9,0.1,LogUneven,3,electro,cases/porous/Porous_CFFF_U_Vf0.9_e10_LogUneven-30x30-10layer.txt,-0.0638614476295132,-1.58206781009085e-16,-0.111209711421087,0.111209711421086,0.222419422842173,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf90_e10_LogUneven_electro.mat
U_Vf90_e10_LogUneven_magneto,U,0.9,0.1,LogUneven,3,magneto,cases/porous/Porous_CFFF_U_Vf0.9_e10_LogUneven-30x30-10layer.txt,-1.15812855096501,-2.9309887850104103e-15,-2.01679020312687,2.01679020312686,4.03358040625373,2.736238116587,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf90_e10_LogUneven_magneto.mat
U_Vf10_e20_Even_elastic,U,0.1,0.2,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.1_e20_Even-30x30-10layer.txt,-1.73344337345688,6.750155989720951e-15,-1.52945657328782,1.52945657328784,3.05891314657566,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf10_e20_Even_elastic.mat
U_Vf10_e20_Even_electro,U,0.1,0.2,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.1_e20_Even-30x30-10layer.txt,-0.006427909166959,5.34294830600857e-17,-0.0248200406111724,0.0248200406111725,0.0496400812223449,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf10_e20_Even_electro.mat
U_Vf10_e20_Even_magneto,U,0.1,0.2,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.1_e20_Even-30x30-10layer.txt,1.12090066835241,-9.237055564881301e-15,-4.32812589389306,4.32812589389304,8.65625178778609,5.10157629079505,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf10_e20_Even_magneto.mat
U_Vf30_e20_Even_elastic,U,0.3,0.2,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.3_e20_Even-30x30-10layer.txt,-2.03775464401637,-4.92939022933569e-15,-1.39442511120967,1.39442511120966,2.78885022241933,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf30_e20_Even_elastic.mat
U_Vf30_e20_Even_electro,U,0.3,0.2,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.3_e20_Even-30x30-10layer.txt,-0.0195791650070669,-9.714451465470121e-17,-0.0575102773160732,0.0575102773160731,0.115020554632146,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf30_e20_Even_electro.mat
U_Vf30_e20_Even_magneto,U,0.3,0.2,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.3_e20_Even-30x30-10layer.txt,0.851063357971023,4.0412118096355704e-15,-2.49984561218051,2.49984561218051,4.99969122436102,3.26415529537368,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf30_e20_Even_magneto.mat
U_Vf50_e20_Even_elastic,U,0.5,0.2,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.5_e20_Even-30x30-10layer.txt,-2.45473871101943,-1.3766765505351902e-15,-1.41339495484511,1.41339495484511,2.82678990969022,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf50_e20_Even_elastic.mat
U_Vf50_e20_Even_electro,U,0.5,0.2,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.5_e20_Even-30x30-10layer.txt,-0.0329136849853251,-5.27355936696949e-17,-0.0793432671744776,0.0793432671744774,0.158686534348955,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf50_e20_Even_electro.mat
U_Vf50_e20_Even_magneto,U,0.5,0.2,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.5_e20_Even-30x30-10layer.txt,0.453667453958521,6.88338275267597e-16,-1.09363196562146,1.09363196562147,2.18726393124293,1.45741230574058,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf50_e20_Even_magneto.mat
U_Vf70_e20_Even_elastic,U,0.7,0.2,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.7_e20_Even-30x30-10layer.txt,-3.08074552569101,7.39408534400354e-15,-1.56185515664229,1.56185515664231,3.1237103132846,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf70_e20_Even_elastic.mat
U_Vf70_e20_Even_electro,U,0.7,0.2,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.7_e20_Even-30x30-10layer.txt,-0.0462185431759609,1.87350135405495e-16,-0.0948229815543336,0.0948229815543339,0.189645963108667,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf70_e20_Even_electro.mat
