case_id,fg_mode,vf0,load_case,input_file,w_center_mm,theta_mean_K,theta_min_K,theta_max_K,theta_span_K,magnetoelectric_efficiency,load_scale,volt,magnetic,status,message,output_mat,w_abs_mm,cfff_w_abs_mm,cfff_theta_span_K,cfff_me_efficiency,w_abs_cfcf_over_cfff,theta_cfcf_over_cfff,me_cfcf_over_cfff
CFCF_X_Vf30_magneto,X,0.3,magneto,cases/cfcf/Thermal_CFCF_X_Vf0.3-30x30-10layer.txt,-0.0927885445367283,5.662137425588301e-16,-0.769961096313596,0.769961096313597,1.53992219262719,0.867428965005952,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_X_Vf30_magneto.mat,0.0927885445367283,0.827938451959497,4.90616828279425,2.76361526320281,0.11207179026064554,0.313874719305418,0.31387471930541844
CFCF_X_Vf50_elastic,X,0.5,elastic,cases/cfcf/Thermal_CFCF_X_Vf0.5-30x30-10layer.txt,-0.0922866707602358,-4.23920538784872e-07,-0.0164648160673999,0.0164641402168188,0.0329289562842187,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_X_Vf50_elastic.mat,0.0922866707602358,1.69005231184634,1.96686036842322,,0.05460580723647242,0.01674188814461546,
CFCF_X_Vf50_electro,X,0.5,electro,cases/cfcf/Thermal_CFCF_X_Vf0.5-30x30-10layer.txt,0.0037407692847161,-5.69542247884705e-07,-0.0274949009162888,0.0274939929030552,0.054988893819344,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_X_Vf50_electro.mat,0.0037407692847161,0.0360382294570868,0.177991969646204,,0.10380002960940386,0.30894030741187845,
CFCF_X_Vf50_magneto,X,0.5,magneto,cases/cfcf/Thermal_CFCF_X_Vf0.5-30x30-10layer.txt,-0.0523098286068664,7.96431298046851e-06,-0.38446799228002,0.384480689672724,0.768948681952743,0.454070474126983,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_X_Vf50_magneto.mat,0.0523098286068664,0.503948108716469,2.48898788375441,1.46976766460228,0.1038000296103838,0.30894030741236655,0.30894030741236556
CFCF_X_Vf70_elastic,X,0.7,elastic,cases/cfcf/Thermal_CFCF_X_Vf0.7-30x30-10layer.txt,-0.106486517409616,-1.49186218934005e-17,-0.0165983336255261,0.0165983336255261,0.0331966672510522,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_X_Vf70_elastic.mat,0.106486517409616,1.9480670213001,2.0035464523612,,0.05466265597913006,0.01656895312406138,
CFCF_X_Vf70_electro,X,0.7,electro,cases/cfcf/Thermal_CFCF_X_Vf0.7-30x30-10layer.txt,0.0045465674061257,-4.16333634234434e-18,-0.0312865121675622,0.0312865121675622,0.0625730243351245,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_X_Vf70_electro.mat,0.0045465674061257,0.0482313519786744,0.206459645021769,,0.09426580884848461,0.3030762952659675,
CFCF_X_Vf70_magneto,X,0.7,magneto,cases/cfcf/Thermal_CFCF_X_Vf0.7-30x30-10layer.txt,-0.0069526745519401,4.85722573273506e-18,-0.0478437725729686,0.0478437725729686,0.0956875451459372,0.0541422822904158,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_X_Vf70_magneto.mat,0.0069526745519401,0.0737560589268846,0.315720980629182,0.178642418218186,0.09426580884469957,0.30307629526313723,0.30307629526313734
CFCF_X_Vf90_elastic,X,0.9,elastic,cases/cfcf/Thermal_CFCF_X_Vf0.9-30x30-10layer.txt,-0.125786681194819,-9.21691877322356e-07,-0.0175066267523452,0.0175052481524803,0.0350118749048255,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_X_Vf90_elastic.mat,0.125786681194819,2.29744326434068,2.14622501089699,,0.05475072361837725,0.0163132359035331,
CFCF_X_Vf90_electro,X,0.9,electro,cases/cfcf/Thermal_CFCF_X_Vf0.9-30x30-10layer.txt,0.0047917982018015,-1.33384722026467e-06,-0.0323143053218729,0.0323123102499374,0.0646266155718103,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_X_Vf90_electro.mat,0.0047917982018015,0.0575988134950561,0.218536861577806,,0.08319265469266647,0.2957240948058605,
CFCF_X_Vf90_magneto,X,0.9,magneto,cases/cfcf/Thermal_CFCF_X_Vf0.9-30x30-10layer.txt,0.043394899824121,-1.20794248977985e-05,-0.292640879951988,0.29262281242428,0.585263692376268,0.320154831335512,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_X_Vf90_magneto.mat,0.043394899824121,0.521619366337654,1.97908693494976,1.08261327516112,0.08319265469148755,0.29572409480391276,0.2957240952803437
