time_s,w_center_mm,theta_span_K,theta_layer_01_K,theta_layer_02_K,theta_layer_03_K,theta_layer_04_K,theta_layer_05_K,theta_layer_06_K,theta_layer_07_K,theta_layer_08_K,theta_layer_09_K,theta_layer_10_K
0.0238999999999999,-3.28440159570848,3.69324233105976,1.84662116552988,1.57167259774124,1.25384639102348,0.864447558392995,0.346052985856991,-0.346052985857001,-0.864447558393004,-1.25384639102349,-1.57167259774125,-1.84662116552989
0.0239999999999999,-3.34085006550508,3.73994436986053,1.86997218493026,1.59154681883541,1.26970161457903,0.875378729378927,0.350428918580576,-0.350428918580586,-0.875378729378937,-1.26970161457904,-1.59154681883541,-1.86997218493027
0.0240999999999999,-3.39362732886846,3.78991825295991,1.89495912647995,1.61281338507436,1.28666762096388,0.887075714671596,0.355111419730303,-0.355111419730313,-0.887075714671606,-1.28666762096389,-1.61281338507437,-1.89495912647996
0.0241999999999999,-3.44214217029859,3.83953666094385,1.91976833047192,1.63392867759554,1.30351294444992,0.898689496760129,0.359760613229444,-0.359760613229454,-0.898689496760138,-1.30351294444992,-1.63392867759555,-1.91976833047193
0.0242999999999999,-3.48604952637976,3.88278797606032,1.94139398803016,1.65233443077701,1.31819665607905,0.908812984578756,0.363813216713495,-0.363813216713506,-0.908812984578765,-1.31819665607906,-1.65233443077701,-1.94139398803017
0.0243999999999999,-3.5253662281677,3.92581464061328,1.96290732030664,1.67064458310072,1.33280409941246,0.918883890244976,0.367844770672139,-0.36784477067215,-0.918883890244987,-1.33280409941247,-1.67064458310073,-1.96290732030664
0.0244999999999999,-3.56053742320861,3.97678755769497,1.98839377884748,1.69233629185497,1.35010927529689,0.930814711394964,0.372620880272534,-0.372620880272545,-0.930814711394974,-1.3501092752969,-1.69233629185498,-1.98839377884749
0.0245999999999999,-3.59199297295148,4.03474656964577,2.01737328482288,1.71700095848384,1.36978621264559,0.944380711639894,0.378051579735231,-0.378051579735243,-0.944380711639904,-1.36978621264559,-1.71700095848385,-2.01737328482289
0.0246999999999999,-3.61973115507496,4.09788389574027,2.04894194787013,1.74386927537788,1.39122117449379,0.959158758270316,0.383967481876361,-0.383967481876372,-0.959158758270325,-1.3912211744938,-1.74386927537788,-2.04894194787014
0.0247999999999999,-3.64369749613573,4.16152837429162,2.08076418714581,1.77095341282953,1.412828313313,0.974055510001503,0.389930903678061,-0.389930903678073,-0.974055510001513,-1.41282831331301,-1.77095341282954,-2.08076418714581
0.0248999999999999,-3.66444259064644,4.22030077610022,2.1101503880501,1.79596422044678,1.43278139445251,0.987811893875116,0.395437816929003,-0.395437816929015,-0.987811893875125,-1.43278139445252,-1.79596422044679,-2.11015038805011
0.0249999999999999,-3.68268600887262,4.27170778232876,2.13585389116438,1.8178406574035,1.45023394249976,0.999844318783939,0.400254600233405,-0.400254600233417,-0.999844318783948,-1.45023394249977,-1.81784065740351,-2.13585389116438
0.0250999999999999,-3.69889846747571,4.31355837126353,2.15677918563176,1.83565032650508,1.46444211114788,1.00963994987961,0.404175957123245,-0.404175957123257,-1.00963994987962,-1.46444211114789,-1.83565032650508,-2.15677918563177
0.0251999999999999,-3.71353377388633,4.34747154230527,2.17373577115263,1.8500821987872,1.47595554658136,1.0175777333437,0.40735358616756,-0.407353586167572,-1.01757773334371,-1.47595554658137,-1.85008219878721,-2.17373577115264
0.0252999999999999,-3.72666627260463,4.37394905638989,2.18697452819494,1.86134980042633,1.48494459536353,1.02377511232701,0.409834501846989,-0.409834501847001,-1.02377511232702,-1.48494459536354,-1.86134980042633,-2.18697452819495
0.0253999999999999,-3.73833807426348,4.39078964057257,2.19539482028628,1.86851637177944,1.49066193092058,1.02771685255787,0.411412447163759,-0.411412447163771,-1.02771685255788,-1.49066193092059,-1.86851637177944,-2.19539482028629
0.0254999999999999,-3.74915328032192,4.39856583111672,2.19928291555836,1.87182555771892,1.49330192785978,1.02953696299929,0.412141068173479,-0.41214106817349,-1.0295369629993,-1.49330192785979,-1.87182555771893,-2.19928291555836
