case_id,fg_mode,vf0,e0,porosity_name,porosity_mode,load_case,input_file,w_center_mm,theta_mean_K,theta_min_K,theta_max_K,theta_span_K,magnetoelectric_efficiency,load_scale,volt,magnetic,status,message,output_mat,w_abs_mm,w_abs_baseline_mm,theta_span_baseline_K,me_eff_baseline,w_abs_ratio,theta_span_ratio,me_eff_ratio
U_Vf70_e40_Even_elastic,U,0.7,0.4,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.7_e40_Even-30x30-10layer.txt,-4.18873104633904,1.11022302462516e-15,-2.17823211581669,2.17823211581669,4.35646423163337,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf70_e40_Even_elastic.mat,4.18873104633904,2.39618190365557,2.36672270307115,,1.7480855856347095,1.8407159512097702,
U_Vf70_e40_Even_electro,U,0.7,0.4,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.7_e40_Even-30x30-10layer.txt,-0.032758302155284,2.35922392732846e-17,-0.0692607652913072,0.0692607652913072,0.138521530582614,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf70_e40_Even_electro.mat,0.032758302155284,0.0610890543438299,0.243428177419954,,0.5362384883371933,0.5690447673345611,
U_Vf70_e40_Even_magneto,U,0.7,0.4,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.7_e40_Even-30x30-10layer.txt,-0.168715199055661,1.3877787807814499e-16,-0.356713963604969,0.356713963604969,0.713427927209939,0.401540323378739,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf70_e40_Even_magneto.mat,0.168715199055661,0.155952885901855,0.621442371122425,0.480139236691404,1.0818344147977976,1.1480194469543061,0.8362997495179044
U_Vf90_e40_Even_elastic,U,0.9,0.4,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.9_e40_Even-30x30-10layer.txt,-5.62558332583958,4.9737991503207e-15,-2.64708905871173,2.64708905871174,5.29417811742346,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf90_e40_Even_elastic.mat,5.62558332583958,3.20991999537892,2.88084200820709,,1.7525618501203484,1.8377190079640378,
U_Vf90_e40_Even_electro,U,0.9,0.4,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.9_e40_Even-30x30-10layer.txt,-0.0416884667982144,4.857225732735061e-17,-0.0758750574461411,0.0758750574461412,0.151750114892282,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf90_e40_Even_electro.mat,0.0416884667982144,0.0782418831995812,0.26968680989294,,0.5328152275153513,0.5626901625352889,
U_Vf90_e40_Even_magneto,U,0.9,0.4,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.9_e40_Even-30x30-10layer.txt,-1.27906591349562,1.2878587085651802e-15,-2.32796279447266,2.32796279447267,4.65592558894533,2.48451572751581,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf90_e40_Even_magneto.mat,1.27906591349562,1.18062714967801,4.06942620297376,2.87496844086013,1.0833783670352295,1.1441233620462221,0.8641888697645999
U_Vf10_e40_Uneven_elastic,U,0.1,0.4,Uneven,2,elastic,cases/porous/Porous_CFFF_U_Vf0.1_e40_Uneven-30x30-10layer.txt,-1.53125407177707,7.7715611723761e-15,-1.33177094279211,1.33177094279213,2.66354188558424,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf10_e40_Uneven_elastic.mat,1.53125407177707,1.35667112293398,2.32953949939677,,1.128684797584201,1.1433770005934474,
U_Vf10_e40_Uneven_electro,U,0.1,0.4,Uneven,2,electro,cases/porous/Porous_CFFF_U_Vf0.1_e40_Uneven-30x30-10layer.txt,-0.0086904489774668,8.60422844084496e-17,-0.0330499359408008,0.0330499359408009,0.0660998718816017,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf10_e40_Uneven_electro.mat,0.0086904489774668,0.0084504467203211,0.0632699024410006,,1.0284011325186582,1.0447285254349816,
U_Vf10_e40_Uneven_magneto,U,0.1,0.4,Uneven,2,magneto,cases/porous/Porous_CFFF_U_Vf0.1_e40_Uneven-30x30-10layer.txt,1.17775347894469,-1.15463194561016e-14,-4.47901795798143,4.47901795798141,8.95803591596284,5.24226312453761,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf10_e40_Uneven_magneto.mat,1.17775347894469,1.07957650011938,8.08296911403158,5.40692244063206,1.0909402703879285,1.1082605648476616,0.9695465733229194
U_Vf30_e40_Uneven_elastic,U,0.3,0.4,Uneven,2,elastic,cases/porous/Porous_CFFF_U_Vf0.3_e40_Uneven-30x30-10layer.txt,-1.79730186402309,1.3544720900426901e-15,-1.21230228463037,1.21230228463038,2.42460456926075,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf30_e40_Uneven_elastic.mat,1.79730186402309,1.59071475196702,2.11829630775337,,1.1298706206129112,1.1446012346744094,
