time_s,w_center_mm,theta_span_K
0.0097,-5.15327125903723,6.39048418945773
0.0098,-5.14967920352939,6.35170901021616
0.0099,-5.14391087371627,6.31098766569443
0.01,-5.13531927783961,6.26823351334209
0.0101,-5.12351505266229,6.21698740229317
0.0102,-5.1077845818503,6.16114715085479
0.0103,-5.08711180533767,6.1044592162421
0.0104,-5.06080845126904,6.03957528550406
0.0105,-5.02889595577858,5.96546425451048
0.0106,-4.9913895450019,5.89076086889236
0.0107,-4.94838361562029,5.82498734671644
0.0108,-4.90003277221605,5.77187305966208
0.0109,-4.84616698775443,5.72717635453482
0.011,-4.78695147655986,5.68714807552779
0.0111,-4.7230899723833,5.65075271066906
0.0112,-4.65523396725452,5.61556330742553
0.0113,-4.58397221078588,5.5771919868418
0.0114,-4.5099769731045,5.53182447819312
0.0115,-4.43369871284721,5.47970822174718
0.0116,-4.35576638978825,5.41937031908711
0.0117,-4.27752498916418,5.34794892754034
0.0118,-4.2002543314129,5.27019124930899
0.0119,-4.1244429327813,5.19585437928758
0.012,-4.05022527055933,5.12355706547115
0.0121,-3.97763770993373,5.04187010853471
0.0122,-3.90660867774644,4.94828445451543
0.0123,-3.83721759432101,4.84394599382197
0.0124,-3.76945770306166,4.72840887979651
0.0125,-3.70285437051411,4.60276352769245
0.0126,-3.63638626318235,4.46657605672548
0.0127,-3.56913030114683,4.32268301319206
0.0128,-3.50073042915681,4.177855259449
0.0129,-3.43094357246378,4.03488112140593
0.013,-3.35975394681466,3.89845694625725
0.0131,-3.28671251676836,3.77711347027805
0.0132,-3.21050358101318,3.66809021263635
0.0133,-3.13036881087323,3.56104264430768
0.0134,-3.04634400989903,3.45064681784065
0.0135,-2.95876290778823,3.34110087198269
0.0136,-2.86815238357014,3.23777539345105
0.0137,-2.7746018751442,3.13648728584115
0.0138,-2.67779816360323,3.03574264475032
0.0139,-2.57801822470993,2.9390139453704
0.014,-2.47643408985585,2.84739663677652
0.0141,-2.3745133829226,2.7633149136938
0.0142,-2.27333107628993,2.6868637820393
